216.000,325.000,167.000,537.000,471.000,586.000,411.000,105.000,-126.000,304.000,348.000,258.000,867.000,1249.00,1939.00,2623.00,3136.00,4395.00,5843.00,6445.00,6914.00,7709.00,8419.00,8268.00,7002.00,4704.00,3531.00,3224.00,2151.00,1365.00,745.000,866.000,624.000,354.000,806.000,799.000,808.000,953.000,992.000,922.000,1115.00
493.000,498.000,477.000,119.000,109.000,207.000,100.000,489.000,20.0000,-75.0000,265.000,386.000,427.000,678.000,711.000,1508.00,2800.00,3743.00,3925.00,4386.00,5548.00,6288.00,6859.00,6712.00,6565.00,5338.00,4622.00,3897.00,2723.00,1360.00,929.000,649.000,151.000,93.0000,397.000,531.000,385.000,548.000,481.000,326.000,289.000
311.000,222.000,268.000,107.000,362.000,482.000,431.000,744.000,308.000,154.000,524.000,789.000,956.000,1061.00,960.000,1176.00,2099.00,3085.00,4257.00,5699.00,6335.00,6939.00,7781.00,7724.00,6115.00,5424.00,4258.00,3031.00,1632.00,977.000,908.000,833.000,610.000,476.000,403.000,384.000,106.000,193.000,268.000,229.000,349.000
-15.0000,-54.0000,-178.000,-38.0000,291.000,135.000,177.000,423.000,279.000,-91.0000,-6.00000,524.000,407.000,651.000,803.000,1080.00,1298.00,2445.00,3649.00,6063.00,7784.00,9314.00,10311.0,9584.00,7825.00,5393.00,3615.00,3058.00,2397.00,1586.00,1388.00,785.000,432.000,157.000,459.000,724.000,728.000,583.000,890.000,956.000,1238.00
235.000,239.000,292.000,525.000,648.000,718.000,587.000,414.000,90.0000,262.000,497.000,479.000,506.000,713.000,1397.00,2358.00,4192.00,5723.00,5782.00,6253.00,7426.00,7643.00,8464.00,9226.00,8858.00,7426.00,4482.00,2491.00,1327.00,1038.00,866.000,1352.00,1001.00,437.000,655.000,374.000,280.000,447.000,457.000,168.000,226.000
358.000,386.000,371.000,424.000,649.000,330.000,372.000,283.000,212.000,204.000,401.000,763.000,856.000,859.000,1106.00,1737.00,3119.00,3850.00,5194.00,6866.00,9328.00,10618.0,11060.0,9718.00,8246.00,6315.00,4222.00,2713.00,1963.00,1502.00,927.000,1374.00,1226.00,663.000,793.000,905.000,834.000,1024.00,1195.00,997.000,940.000
564.000,556.000,568.000,620.000,604.000,714.000,356.000,214.000,221.000,351.000,1099.00,1579.00,1654.00,1354.00,1051.00,1113.00,1991.00,3126.00,4430.00,6604.00,7571.00,8652.00,9530.00,9706.00,9578.00,7369.00,5020.00,3276.00,2016.00,1633.00,1195.00,948.000,1149.00,962.000,880.000,1005.00,702.000,670.000,573.000,432.000,194.000
145.000,259.000,238.000,393.000,528.000,636.000,483.000,399.000,608.000,492.000,694.000,1080.00,1740.00,2075.00,2537.00,2831.00,3400.00,4209.00,5881.00,7073.00,8324.00,9632.00,9878.00,9108.00,8696.00,7415.00,4915.00,3389.00,2375.00,1417.00,1098.00,1213.00,937.000,437.000,662.000,581.000,450.000,851.000,1604.00,1369.00,1355.00
225.000,378.000,20.0000,81.0000,781.000,1037.00,827.000,451.000,453.000,151.000,522.000,968.000,849.000,1127.00,1610.00,2461.00,3021.00,4077.00,5989.00,7554.00,8372.00,9590.00,10862.0,10446.0,9254.00,6171.00,4828.00,3413.00,2449.00,2155.00,1531.00,1183.00,1062.00,589.000,736.000,585.000,526.000,819.000,1063.00,704.000,482.000
221.000,233.000,37.0000,263.000,902.000,587.000,673.000,1238.00,1236.00,924.000,716.000,1082.00,1852.00,2047.00,1416.00,1839.00,2303.00,3310.00,4860.00,6322.00,6316.00,7207.00,7728.00,7597.00,7718.00,6362.00,5239.00,3519.00,2209.00,711.000,443.000,732.000,639.000,498.000,590.000,618.000,285.000,390.000,516.000,914.000,830.000
297.000,377.000,227.000,321.000,414.000,349.000,114.000,176.000,170.000,126.000,469.000,914.000,1069.00,1345.00,1456.00,1767.00,2434.00,3423.00,4772.00,5828.00,6112.00,6869.00,8278.00,9064.00,7956.00,6066.00,3822.00,2649.00,1799.00,1602.00,1151.00,1108.00,597.000,259.000,656.000,574.000,400.000,725.000,1427.00,1516.00,1435.00
453.000,514.000,357.000,101.000,122.000,258.000,368.000,443.000,164.000,220.000,394.000,517.000,864.000,1064.00,1690.00,2533.00,3084.00,3710.00,3804.00,4970.00,7240.00,7718.00,8310.00,8497.00,7575.00,6680.00,4673.00,3270.00,2371.00,1350.00,981.000,905.000,543.000,279.000,364.000,382.000,303.000,403.000,619.000,691.000,535.000
254.000,274.000,132.000,168.000,98.0000,213.000,67.0000,456.000,399.000,4.00000,542.000,710.000,625.000,1039.00,1051.00,1692.00,2434.00,2846.00,3620.00,4519.00,5837.00,8406.00,10410.0,9205.00,6874.00,6394.00,5109.00,3376.00,2146.00,1180.00,564.000,585.000,298.000,132.000,252.000,188.000,-93.0000,542.000,692.000,850.000,385.000
-99.0000,-21.0000,-48.0000,135.000,90.0000,300.000,386.000,625.000,438.000,112.000,257.000,517.000,369.000,1158.00,1034.00,1404.00,1738.00,2088.00,3015.00,4913.00,6394.00,8024.00,7952.00,8121.00,7195.00,6478.00,5061.00,3587.00,2414.00,1467.00,657.000,475.000,332.000,388.000,541.000,445.000,387.000,220.000,108.000,192.000,176.000
550.000,167.000,-58.0000,162.000,239.000,376.000,230.000,468.000,428.000,43.0000,543.000,681.000,695.000,801.000,822.000,809.000,1327.00,2437.00,3179.00,4854.00,6397.00,7286.00,7384.00,7819.00,7913.00,6748.00,5211.00,4133.00,3190.00,2165.00,1432.00,1124.00,932.000,693.000,677.000,411.000,294.000,713.000,801.000,791.000,351.000
142.000,113.000,-177.000,-143.000,0.000000,-88.0000,80.0000,228.000,107.000,209.000,834.000,1061.00,778.000,837.000,726.000,946.000,1783.00,2556.00,2824.00,3813.00,5302.00,6304.00,5771.00,5201.00,4698.00,4652.00,3377.00,2513.00,1800.00,1035.00,646.000,513.000,141.000,47.0000,122.000,107.000,-39.0000,99.0000,178.000,148.000,251.000
26.0000,60.0000,130.000,-29.0000,113.000,221.000,39.0000,102.000,20.0000,-45.0000,317.000,893.000,835.000,1224.00,1392.00,1273.00,1100.00,2075.00,3003.00,4232.00,4955.00,5917.00,7637.00,7674.00,6634.00,5459.00,3936.00,2637.00,1702.00,1208.00,946.000,838.000,636.000,529.000,603.000,423.000,119.000,201.000,215.000,87.0000,-8.00000
7.00000,-79.0000,72.0000,-59.0000,152.000,9.00000,74.0000,294.000,309.000,117.000,395.000,545.000,576.000,1013.00,1259.00,1502.00,1880.00,2189.00,2614.00,3588.00,3896.00,4262.00,5328.00,6042.00,5479.00,4935.00,3607.00,2618.00,1729.00,1153.00,862.000,594.000,468.000,709.000,738.000,596.000,472.000,218.000,386.000,390.000,281.000
9.00000,24.0000,3.00000,-85.0000,305.000,130.000,4.00000,500.000,514.000,95.0000,33.0000,206.000,209.000,841.000,1022.00,1552.00,1805.00,2247.00,2119.00,2780.00,3895.00,4814.00,6207.00,7063.00,6030.00,5005.00,4105.00,3258.00,2188.00,1297.00,1003.00,697.000,561.000,206.000,405.000,325.000,100.000,204.000,602.000,675.000,444.000
422.000,-60.0000,144.000,192.000,458.000,571.000,673.000,423.000,279.000,-5.00000,243.000,415.000,424.000,975.000,1194.00,1181.00,1336.00,1598.00,2154.00,2731.00,3242.00,4378.00,5100.00,5416.00,4781.00,4287.00,3571.00,2529.00,1590.00,915.000,662.000,1132.00,881.000,406.000,709.000,222.000,-96.0000,-41.0000,456.000,478.000,253.000
403.000,275.000,229.000,262.000,275.000,42.0000,-11.0000,300.000,174.000,-2.00000,370.000,452.000,271.000,461.000,820.000,1078.00,1491.00,2249.00,2388.00,3380.00,3975.00,5151.00,5890.00,5419.00,4782.00,4450.00,3867.00,3057.00,1790.00,981.000,712.000,422.000,419.000,332.000,506.000,293.000,19.0000,-143.000,123.000,132.000,136.000
